#,First Stage,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Stage,Legendary
1,Bulbasaur,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,FALSE
2,Bulbasaur,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,2,FALSE
3,Bulbasaur,Venusaur,Grass,Poison,525,80,82,83,100,100,80,3,FALSE
4,Charmander,Charmander,Fire,,309,39,52,43,60,50,65,1,FALSE
5,Charmander,Charmeleon,Fire,,405,58,64,58,80,65,80,2,FALSE
6,Charmander,Charizard,Fire,Flying,534,78,84,78,109,85,100,3,FALSE
7,Squirtle,Squirtle,Water,,314,44,48,65,50,64,43,1,FALSE
8,Squirtle,Wartortle,Water,,405,59,63,80,65,80,58,2,FALSE
9,Squirtle,Blastoise,Water,,530,79,83,100,85,105,78,3,FALSE
10,Caterpie,Caterpie,Bug,,195,45,30,35,20,20,45,1,FALSE
11,Caterpie,Metapod,Bug,,205,50,20,55,25,25,30,2,FALSE
12,Caterpie,Butterfree,Bug,Flying,395,60,45,50,90,80,70,3,FALSE
13,Weedle,Weedle,Bug,Poison,195,40,35,30,20,20,50,1,FALSE
14,Weedle,Kakuna,Bug,Poison,205,45,25,50,25,25,35,2,FALSE
15,Weedle,Beedrill,Bug,Poison,395,65,90,40,45,80,75,3,FALSE
16,Pidgey,Pidgey,Normal,Flying,251,40,45,40,35,35,56,1,FALSE
17,Pidgey,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,2,FALSE
18,Pidgey,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,3,FALSE
29,Nidoran F,Nidoran,Poison,,275,55,47,52,40,40,41,1,FALSE
30,Nidoran F,Nidorina,Poison,,365,70,62,67,55,55,56,2,FALSE
31,Nidoran F,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,3,FALSE
32,Nidoran M,Nidoran,Poison,,273,46,57,40,40,40,50,1,FALSE
33,Nidoran M,Nidorino,Poison,,365,61,72,57,55,55,65,2,FALSE
34,Nidoran M,Nidoking,Poison,Ground,505,81,102,77,85,75,85,3,FALSE
43,Oddish,Oddish,Grass,Poison,320,45,50,55,75,65,30,1,FALSE
44,Oddish,Gloom,Grass,Poison,395,60,65,70,85,75,40,2,FALSE
45,Oddish,Vileplume,Grass,Poison,490,75,80,85,110,90,50,3,FALSE
60,Poliwag,Poliwag,Water,,300,40,50,40,40,40,90,1,FALSE
61,Poliwag,Poliwhirl,Water,,385,65,65,65,50,50,90,2,FALSE
62,Poliwag,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,3,FALSE
63,Abra,Abra,Psychic,,310,25,20,15,105,55,90,1,FALSE
64,Abra,Kadabra,Psychic,,400,40,35,30,120,70,105,2,FALSE
65,Abra,Alakazam,Psychic,,500,55,50,45,135,95,120,3,FALSE
66,Machop,Machop,Fighting,,305,70,80,50,35,35,35,1,FALSE
67,Machop,Machoke,Fighting,,405,80,100,70,50,60,45,2,FALSE
68,Machop,Machamp,Fighting,,505,90,130,80,65,85,55,3,FALSE
69,Bellsprout,Bellsprout,Grass,Poison,300,50,75,35,70,30,40,1,FALSE
70,Bellsprout,Weepinbell,Grass,Poison,390,65,90,50,85,45,55,2,FALSE
71,Bellsprout,Victreebel,Grass,Poison,490,80,105,65,100,70,70,3,FALSE
74,Geodude,Geodude,Rock,Ground,300,40,80,100,30,30,20,1,FALSE
75,Geodude,Graveler,Rock,Ground,390,55,95,115,45,45,35,2,FALSE
76,Geodude,Golem,Rock,Ground,495,80,120,130,55,65,45,3,FALSE
92,Gastly,Gastly,Ghost,Poison,310,30,35,30,100,35,80,1,FALSE
93,Gastly,Haunter,Ghost,Poison,405,45,50,45,115,55,95,2,FALSE
94,Gastly,Gengar,Ghost,Poison,500,60,65,60,130,75,110,3,FALSE
147,Dratini,Dratini,Dragon,,300,41,64,45,50,50,50,1,FALSE
148,Dratini,Dragonair,Dragon,,420,61,84,65,70,70,70,2,FALSE
149,Dratini,Dragonite,Dragon,Flying,600,91,134,95,100,100,80,3,FALSE
